date,ticker,company,hashrate_ehs
2026-08-17,BTDR,Bitdeer Technologies Group,73.0
2026-08-17,MARA,"MARA Holdings, Inc.",70.3
2026-08-17,CLSK,"CleanSpark, Inc.",38.6
2026-08-17,RIOT,"Riot Platforms, Inc.",37.2
2026-08-17,IREN,IREN Limited,36.0
2026-08-17,ABTC,American Bitcoin Corp.,25.0
2026-08-17,HIVE,HIVE Digital Technologies Ltd.,24.5
2026-08-17,CANG,Cango Inc.,23.32
2026-08-17,CORZ,"Core Scientific, Inc.",15.7
2026-08-17,KEEL,Keel Infrastructure Corp.,14.8
2026-08-17,CIFR,Cipher Digital Inc.,11.6
2026-08-17,WULF,"TeraWulf, Inc.",5.6
2026-08-17,BGDE,"Big Digital Energy, Inc.",4.98
2026-08-17,FUFU,"BitFuFu, Inc.",3.6
2026-08-17,CAN,"Canaan, Inc.",3.36
2026-08-17,NIPG,NIP Group Inc.,3.11
2026-08-17,HUT,Hut 8 Corp.,1.8
2026-08-17,DMGI.V,"DMG Blockchain Solutions, Inc.",1.52
2026-08-17,VIP,Vulcan Infrastructure and Power Inc.,1.0
2026-08-17,ANY,Sphere 3D Corp.,1.0
2026-08-17,LMFA,"LM Funding America, Inc.",0.79
2026-08-17,SLNH,"Soluna Holdings, Inc.",0.54
2026-08-17,SOS,SOS Limited,0.527
2026-08-17,SATO.V,SATO Technologies Corp.,0.41
2026-08-17,AVX,Avax One Technology Ltd,0.3
2026-08-17,CSTR.V,CryptoStar Corp.,0.021
2026-08-18,BTDR,Bitdeer Technologies Group,73.0
2026-08-18,MARA,"MARA Holdings, Inc.",70.3
2026-08-18,CLSK,"CleanSpark, Inc.",38.6
2026-08-18,RIOT,"Riot Platforms, Inc.",37.2
2026-08-18,IREN,IREN Limited,36.0
2026-08-18,ABTC,American Bitcoin Corp.,25.0
2026-08-18,HIVE,HIVE Digital Technologies Ltd.,23.59
2026-08-18,CANG,Cango Inc.,23.32
2026-08-18,CORZ,"Core Scientific, Inc.",15.7
2026-08-18,KEEL,Keel Infrastructure Corp.,14.8
2026-08-18,CIFR,Cipher Digital Inc.,11.6
2026-08-18,CAN,"Canaan, Inc.",10.05
2026-08-18,WULF,"TeraWulf, Inc.",5.6
2026-08-18,BGDE,"Big Digital Energy, Inc.",4.98
2026-08-18,FUFU,"BitFuFu, Inc.",3.6
2026-08-18,NIPG,NIP Group Inc.,3.11
2026-08-18,HUT,Hut 8 Corp.,1.8
2026-08-18,DMGI.V,"DMG Blockchain Solutions, Inc.",1.52
2026-08-18,VIP,Vulcan Infrastructure and Power Inc.,1.0
2026-08-18,ANY,Sphere 3D Corp.,1.0
2026-08-18,LMFA,"LM Funding America, Inc.",0.79
2026-08-18,SLNH,"Soluna Holdings, Inc.",0.54
2026-08-18,SOS,SOS Limited,0.527
2026-08-18,SATO.V,SATO Technologies Corp.,0.41
2026-08-18,AVX,Avax One Technology Ltd,0.3
2026-08-18,CSTR.V,CryptoStar Corp.,0.021
2026-08-19,BTDR,Bitdeer Technologies Group,73.0
2026-08-19,MARA,"Marathon Digital Holdings, Inc.",70.3
2026-08-19,CLSK,"CleanSpark, Inc.",38.6
2026-08-19,RIOT,"Riot Platforms, Inc.",37.2
2026-08-19,IREN,IREN Limited,36.0
2026-08-19,ABTC,American Bitcoin Corp,25.0
2026-08-19,HIVE,HIVE Digital Technologies Ltd.,23.59
2026-08-19,CANG,Cango Inc.,23.32
2026-08-19,CORZ,"Core Scientific, Inc.",15.7
2026-08-19,KEEL,Keel Infrastructure Corp.,14.8
2026-08-19,CIFR,Cipher Mining Inc.,11.6
2026-08-19,CAN,Canaan Inc.,10.05
2026-08-19,WULF,TeraWulf Inc.,5.6
2026-08-19,BGDE,"Big Digital Energy, Inc.",4.98
2026-08-19,FUFU,BitFuFu Inc.,3.6
2026-08-19,NIPG,NIP Group Inc.,3.11
2026-08-19,HUT,Hut 8 Corp.,1.8
2026-08-19,DMGI.V,DMG Blockchain Solutions Inc.,1.52
2026-08-19,VIP,Vulcan Infrastructure and Power Inc. Class A,1.0
2026-08-19,ANY,Sphere 3D Corp.,1.0
2026-08-19,LMFA,"LM Funding America, Inc.",0.79
2026-08-19,SLNH,"Soluna Holdings, Inc.",0.54
2026-08-19,SOS,SOS Limited,0.527
2026-08-19,SATO.V,SATO Technologies Corp.,0.41
2026-08-19,AVX,Avax One Technology Ltd,0.3
2026-08-19,CSTR.V,CryptoStar Corp.,0.021
2026-08-20,BTDR,Bitdeer Technologies Group,73.0
2026-08-20,MARA,"Marathon Digital Holdings, Inc.",70.3
2026-08-20,CLSK,"CleanSpark, Inc.",38.6
2026-08-20,RIOT,"Riot Platforms, Inc.",37.2
2026-08-20,IREN,IREN Limited,36.0
2026-08-20,ABTC,American Bitcoin Corp,25.0
2026-08-20,HIVE,HIVE Digital Technologies Ltd.,23.59
2026-08-20,CANG,Cango Inc.,23.32
2026-08-20,CORZ,"Core Scientific, Inc.",15.7
2026-08-20,KEEL,Keel Infrastructure Corp.,14.8
2026-08-20,CIFR,Cipher Mining Inc.,11.6
2026-08-20,CAN,Canaan Inc.,10.05
2026-08-20,WULF,TeraWulf Inc.,5.6
2026-08-20,BGDE,"Big Digital Energy, Inc.",4.98
2026-08-20,FUFU,BitFuFu Inc.,3.6
2026-08-20,NIPG,NIP Group Inc.,3.11
2026-08-20,HUT,Hut 8 Corp.,1.8
2026-08-20,DMGI.V,DMG Blockchain Solutions Inc.,1.52
2026-08-20,VIP,Vulcan Infrastructure and Power Inc. Class A,1.0
2026-08-20,ANY,Sphere 3D Corp.,1.0
2026-08-20,LMFA,"LM Funding America, Inc.",0.79
2026-08-20,SLNH,"Soluna Holdings, Inc.",0.54
2026-08-20,SOS,SOS Limited,0.527
2026-08-20,SATO.V,SATO Technologies Corp.,0.41
2026-08-20,AVX,Avax One Technology Ltd,0.3
2026-08-20,CSTR.V,CryptoStar Corp.,0.021
2026-08-21,BTDR,Bitdeer Technologies Group,73.0
2026-08-21,MARA,"Marathon Digital Holdings, Inc.",70.3
2026-08-21,CLSK,"CleanSpark, Inc.",38.6
2026-08-21,RIOT,"Riot Platforms, Inc.",37.2
2026-08-21,IREN,IREN Limited,36.0
2026-08-21,ABTC,American Bitcoin Corp,25.0
2026-08-21,HIVE,HIVE Digital Technologies Ltd.,23.59
2026-08-21,CANG,Cango Inc.,23.32
2026-08-21,CORZ,"Core Scientific, Inc.",15.7
2026-08-21,KEEL,Keel Infrastructure Corp.,14.8
2026-08-21,CIFR,Cipher Mining Inc.,11.6
2026-08-21,CAN,Canaan Inc.,10.05
2026-08-21,WULF,TeraWulf Inc.,5.6
2026-08-21,BGDE,"Big Digital Energy, Inc.",4.98
2026-08-21,FUFU,BitFuFu Inc.,3.6
2026-08-21,NIPG,NIP Group Inc.,3.11
2026-08-21,HUT,Hut 8 Corp.,1.8
2026-08-21,DMGI.V,DMG Blockchain Solutions Inc.,1.52
2026-08-21,VIP,Vulcan Infrastructure and Power Inc. Class A,1.0
2026-08-21,ANY,Sphere 3D Corp.,1.0
2026-08-21,LMFA,"LM Funding America, Inc.",0.79
2026-08-21,SLNH,"Soluna Holdings, Inc.",0.54
2026-08-21,SOS,SOS Limited,0.527
2026-08-21,SATO.V,SATO Technologies Corp.,0.41
2026-08-21,AVX,Avax One Technology Ltd,0.3
2026-08-21,CSTR.V,CryptoStar Corp.,0.021
